id,category,parent_id,link
1,Moottorikelkan lisävaruste Ale,,https://www.loukko.com/ale/moottorikelkan-lisavaruste-ale
2,Moottorikelkkailu,,https://www.loukko.com/moottorikelkkailu
3,Mönkijät,,https://www.loukko.com/monkijat
4,Veneet ja vesijetit,,https://www.loukko.com/veneet-ja-vesijetit
5,Piha & Metsä,,https://www.loukko.com/metsa-ja-puutarha
6,Moottoripyöräily,,https://www.loukko.com/moottoripyoraily
7,Koti & Autotalli,,https://www.loukko.com/autotalli
8,Vaatteet & Varusteet,,https://www.loukko.com/vaatteet-ja-ajovarusteet
9,Sähköpyörät,,https://www.loukko.com/sahkopyorat
10,Moottorikelkan lisävaruste Ale,1,https://www.loukko.com/ale/moottorikelkan-lisavaruste-ale
11,Moottorikelkat,2,https://www.loukko.com/moottorikelkkailu/moottorikelkat
12,Lynx moottorikelkat,11,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat
13,Lynx 2024 Moottorikelkat,12,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2024-moottorikelkat
14,Lynx 2024 Moottorikelkat,13,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2024-moottorikelkat
15,Lynx 2025 Moottorikelkat,13,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat
16,Lynx 2025 Crossover,15,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-crossover
17,Lynx 2025 Crossover,16,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-crossover
18,Lynx 2025 Syvä lumi,16,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-syva-lumi
19,Lynx 2025 Crossover,18,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-crossover
20,Lynx 2025 Syvä lumi,18,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-syva-lumi
21,Lynx 2025 Hyötykäyttö,18,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-hyotykaytto
22,Lynx 2025 Crossover,21,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-crossover
23,Lynx 2025 Syvä lumi,21,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-syva-lumi
24,Lynx 2025 Hyötykäyttö,21,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-hyotykaytto
25,Lynx 2025 Reitti,21,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-reitti
26,Lynx 2025 Crossover,25,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-crossover
27,Lynx 2025 Syvä lumi,25,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-syva-lumi
28,Lynx 2025 Hyötykäyttö,25,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-hyotykaytto
29,Lynx 2025 Reitti,25,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-reitti
30,Lynx 2025 Nuoriso,25,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-nuoriso
31,Lynx 2025 Crossover,30,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-crossover
32,Lynx 2025 Syvä lumi,30,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-syva-lumi
33,Lynx 2025 Hyötykäyttö,30,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-hyotykaytto
34,Lynx 2025 Reitti,30,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-reitti
