id,category,parent_id,link
10,Moottorikelkan lisävaruste Ale,1,https://www.loukko.com/ale/moottorikelkan-lisavaruste-ale
14,Lynx 2024 Moottorikelkat,13,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2024-moottorikelkat
17,Lynx 2025 Crossover,16,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-crossover
20,Lynx 2025 Syvä lumi,18,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-syva-lumi
24,Lynx 2025 Hyötykäyttö,21,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-hyotykaytto
29,Lynx 2025 Reitti,25,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-reitti
35,Lynx 2025 Nuoriso,30,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat/lynx-2025-nuoriso
48,Lynx 2026 crossover moottorikelkat,47,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2026-moottorikelkat/lynx-2026-crossover-moottorikelkat
51,Lynx 2026 syvän lumen moottorikelkat,49,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2026-moottorikelkat/lynx-2026-syvan-lumen-moottorikelkat
55,Lynx 2026 hyötykäyttö moottorikelkat,52,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2026-moottorikelkat/lynx-2026-hyotykaytto-moottorikelkat
60,Lynx 2026 reitti moottorikelkat,56,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2026-moottorikelkat/lynx-2026-reitti-moottorikelkat
66,Lynx 2026 sähkömoottorikelkat,61,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2026-moottorikelkat/lynx-2026-sahkomoottorikelkat
77,Lynx 2025 Moottorikelkat,12,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2025-moottorikelkat
78,Lynx 2026 Moottorikelkat,12,https://www.loukko.com/moottorikelkkailu/moottorikelkat/lynx-moottorikelkat/lynx-2026-moottorikelkat
81,Ski-Doo 2023 Moottorikelkat,80,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2023-moottorikelkat
84,Ski-Doo 2024 Moottorikelkat,82,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2024-moottorikelkat
87,Ski-Doo 2025 Crossover,86,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2025-moottorikelkat/ski-doo-2025-crossover
90,Ski-Doo 2025 Syvä lumi,88,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2025-moottorikelkat/ski-doo-2025-syva-lumi
94,Ski-Doo 2025 Reitti,91,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2025-moottorikelkat/ski-doo-2025-reitti
99,Ski-Doo 2025 Hyötykäyttö,95,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2025-moottorikelkat/ski-doo-2025-hyotykaytto
105,Ski-Doo 2025 Keskikokoiset,100,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2025-moottorikelkat/ski-doo-2025-keskikokoiset
112,Ski-Doo 2025 Nuoriso,106,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2025-moottorikelkat/ski-doo-2025-nuoriso
130,Ski-Doo 2026 syvän lumen moottorikelkat,129,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2026-moottorikelkat/ski-doo-2026-syvan-lumen-moottorikelkat
133,Ski-Doo 2026 reitti moottorikelkat,131,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2026-moottorikelkat/ski-doo-2026-reitti-moottorikelkat
137,Ski-Doo 2026 crossover moottorikelkat,134,https://www.loukko.com/moottorikelkkailu/moottorikelkat/ski-doo-moottorikelkat/ski-doo-2026-moottorikelkat/ski-doo-2026-crossover-moottorikelkat
