id,name,price,image_src,category_id,link,code
99314,KÄRCHER HDS 5/15 UX Kuumavesipesuri,"2630,00 €",https://www.loukko.com/assets/ProductCatalog/149/SilverShop_Page_Product-148031/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-515-ux-kuumavesipesuri,1.064-913.0
99315,Kärcher  HDS 13/20-4 SXA Kuumavesipesuri,"8321,50 €",https://www.loukko.com/assets/ProductCatalog/280/SilverShop_Page_Product-279144/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-1320-4-sxa-kuumavesipesuri,1.071-936.0
99316,Kärcher HDS 10/20-4 M Kuumavesipesuri,"5160,68 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124251/c15a51225e4fe9d60c303c789f4eddbc__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-1020-4-m-kuumavesipesuri,1.071-900.0
99317,Kärcher HDS 10/20-4 MX Kuumavesipesuri,"5870,16 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124260/f9afca16ca698bc72f66d4b0ee79f13c__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~png.webp,18829,https://www.loukko.com/autotalli/karcher-hds-1020-4-mx-kuumavesipesuri,1.071-912.0
99318,Kärcher HDS 10/21-4 M Kuumavesipesuri,"6345,85 €",https://www.loukko.com/assets/ProductCatalog/284/SilverShop_Page_Product-283771/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-1021-4-m-kuumavesipesuri,1.071-939.0
99319,Kärcher HDS 10/21-4 MXA Kuumavesipesuri,"5249,00 €",https://www.loukko.com/assets/ProductCatalog/284/SilverShop_Page_Product-283772/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-1021-4-mxa-kuumavesipesuri,1.071-938.0
99320,Kärcher HDS 12/18-4 S Kuumavesipesuri,"6062,46 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124261/08998876c75bb1bfccf77109aa02c30d__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-1218-4-s-kuumavesipesuri,1.071-914.0
99321,Kärcher HDS 12/18-4 SX Kuumavesipesuri,"6193,02 €",https://www.loukko.com/assets/ProductCatalog/125/SilverShop_Page_Product-124252/dd7be05efd3f1dfadd1a3f5e4110ed92__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-1218-4-sx-kuumavesipesuri,1.071-925.0
99322,Kärcher HDS 12/18-4 SXA Kuumavesipesuri,"7995,56 €",https://www.loukko.com/assets/ProductCatalog/280/SilverShop_Page_Product-279142/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-1218-4sxa-kuumavesipesuri,1.071-960.0
99323,Kärcher HDS 12/18-4S Kuumavesipesuri,"7185,89 €",https://www.loukko.com/assets/ProductCatalog/280/SilverShop_Page_Product-279140/1__PadWzM4OCwzODgsIkZGRkZGRiIsMF0_WatermarkWzAsMCwzODgsMzg4LCJDZW50ZXIiLDI2Njk0MV0_WebP~jpg.webp,18829,https://www.loukko.com/autotalli/karcher-hds-1218-4s-kuumavesipesuri,1.071-959.0
