id,category,parent_id,link
1,"Elevage, incubation volaille",,https://www.pro-elevage.com/153-elevage-incubation-volaille
2,Grillage et Gabions,,https://www.pro-elevage.com/154-grillage-gabion
3,Agriculture / Équestre - Recyclée,,https://www.pro-elevage.com/155-agriculture-equestre-recyclee
4,Clôture Electrique,,https://www.pro-elevage.com/150-cloture-electrique
5,COUVEUSES / ECLOSOIRS  ET TOUTES MATÉRIEL D’ÉLEVAGE,1,https://www.pro-elevage.com/12-couveuses-eclosoirs-et-toutes-materiel-delevage
6,ABREUVOIRS ET MANGEOIRES ,1,https://www.pro-elevage.com/84-abreuvoirs-et-mangeoires
7,"TOUTES POUR VOS POUSSINS : ÉLEVEUSES, PLAQUES CHAUFFANTE ETC.",1,https://www.pro-elevage.com/102-toutes-pour-vos-poussins-eleveuses-plaques-chauffante-etc
8,PIGEONS ET LAPINS ,1,https://www.pro-elevage.com/85-pigeons-et-lapins
9,PORTIER AUTOMATIQUE POULAILLERS ,1,https://www.pro-elevage.com/13-portier-automatique-poulaillers
10,ANTI-POUX ROUGE /HYGIÈNE ET SANTE ,1,https://www.pro-elevage.com/17-anti-poux-rouge-hygiene-et-sante
11,TOUTES POUR L'ABATTAGE ,1,https://www.pro-elevage.com/16-toutes-pour-l-abattage
12,Animaux Domestiques,1,https://www.pro-elevage.com/101-animaux-domestiques
13,PIÈGES A PRÉDATEURS,1,https://www.pro-elevage.com/393-pieges-a-predateurs
14,GABIONS,2,https://www.pro-elevage.com/431-gabions
15,GRILLAGE FORESTIER/ ELEVAGE,2,https://www.pro-elevage.com/432-grillage-forestier-elevage
16,Clôtures Maisons et jardins,2,https://www.pro-elevage.com/426-clotures-maisons-et-jardins
17,CANISSE,2,https://www.pro-elevage.com/355-canisse
18,FILETS ET GRILLAGES VOLIÈRES ,2,https://www.pro-elevage.com/15-filets-et-grillages-volieres
19,PORTAILS,2,https://www.pro-elevage.com/380-portails
20,CLÔTURE TENNIS,2,https://www.pro-elevage.com/364-cloture-tennis
21,CLÔTURE AUTOROUTE ,2,https://www.pro-elevage.com/407-cloture-autoroute
22,POTEAUX RECYCLÉ ,3,https://www.pro-elevage.com/156-poteaux-recycle
23,POTEAU CARRE,3,https://www.pro-elevage.com/157-poteau-carre
24,DALLE PADDOCK,3,https://www.pro-elevage.com/161-dalle-paddock
25,NOS POTEAUX RECYCLES    ,3,https://www.pro-elevage.com/162-nos-poteaux-recycles
26,Planches de banc rècyclè,3,https://www.pro-elevage.com/998-planches-de-banc-recycle
27,Electrificateurs et Batteries pour clôture ,4,https://www.pro-elevage.com/61-electrificateurs-et-batteries-pour-cloture
28, Isolateurs,4,https://www.pro-elevage.com/440-isolateurs
29, Conducteurs,4,https://www.pro-elevage.com/439-conducteurs
30,Piquets clôture électrique,4,https://www.pro-elevage.com/437-piquets-cloture-electrique
31, Accessoires,4,https://www.pro-elevage.com/441-accessoires
32,Kit complété Rando Équestre  ,4,https://www.pro-elevage.com/466-kit-complete-rando-equestre
33,Kits complété pour toutes types d'animaux  ,4,https://www.pro-elevage.com/467-kits-complete-pour-toutes-types-d-animaux
