id,category,parent_id,link
1,"Elevage, incubation volaille",,https://www.pro-elevage.com/153-elevage-incubation-volaille
2,Grillage et Gabions,,https://www.pro-elevage.com/154-grillage-gabion
3,Agriculture / Équestre - Recyclée,,https://www.pro-elevage.com/155-agriculture-equestre-recyclee
4,Clôture Electrique,,https://www.pro-elevage.com/150-cloture-electrique
5,COUVEUSES / ECLOSOIRS  ET TOUTES MATÉRIEL D’ÉLEVAGE,1,https://www.pro-elevage.com/12-couveuses-eclosoirs-et-toutes-materiel-delevage
6,INCUBATION : COUVEUSES /  ECLOSOIRS,5,https://www.pro-elevage.com/19-incubation-couveuses-eclosoirs
7,Couveuse Familiale,6,https://www.pro-elevage.com/86-couveuse-familiale
8,Couveuses Standard,6,https://www.pro-elevage.com/41-couveuses-standard
9,Couveuses Turbo,6,https://www.pro-elevage.com/39-couveuses-turbo
10,Couveuses Favorit,6,https://www.pro-elevage.com/87-couveuses-favorit
11,Couveuses Euro Lux,6,https://www.pro-elevage.com/38-couveuses-euro-lux
12,Couveuses Favorite Olymp ,6,https://www.pro-elevage.com/42-couveuses-favorite-olymp
13,Couveuses Jumbo XL et XXL,6,https://www.pro-elevage.com/40-couveuses-jumbo-xl-et-xxl
14,Couveuses Grande capacité ,6,https://www.pro-elevage.com/109-couveuses-grande-capacite
15,Eclosiors,14,https://www.pro-elevage.com/112-eclosiors
16,ECLOSOIRS ,6,https://www.pro-elevage.com/134-eclosoirs
17,Couveuse Reines d'Abeille,6,https://www.pro-elevage.com/433-couveuse-reines-d-abeille
18,Couveuses Perroquet et Oiseaux exotique ,6,https://www.pro-elevage.com/43-couveuses-perroquet-et-oiseaux-exotique
19,Couveuses Autruches ,6,https://www.pro-elevage.com/44-couveuses-autruches
20,Couveuses Rapaces ,6,https://www.pro-elevage.com/104-couveuses-rapaces
21,Couveuses Reptiles,6,https://www.pro-elevage.com/108-couveuses-reptiles
22,Couveuses Pièces Détachées,6,https://www.pro-elevage.com/105-couveuses-pieces-detachees
23,Mire Oeufs,6,https://www.pro-elevage.com/48-mire-oeufs
24,Paniers pour couveuses et éclosiors ,6,https://www.pro-elevage.com/49-paniers-pour-couveuses-et-eclosiors
25,COUVEUSES LABORATOIRE,6,https://www.pro-elevage.com/356-couveuses-laboratoire
26,MARQUAGE / DÉBECAGE ,5,https://www.pro-elevage.com/83-marquage-debecage
27,NOS KITS COMPLETS / ET PRÊT A L'EMPLOI,5,https://www.pro-elevage.com/73-nos-kits-complets-et-pret-a-l-emploi
28,AUTRE MATÉRIEL POULAILLER,5,https://www.pro-elevage.com/110-autre-materiel-poulailler
29,Nids Pondoirs,28,https://www.pro-elevage.com/23-nids-pondoirs
30,CAISSES DE TRANSPORT ,28,https://www.pro-elevage.com/107-caisses-de-transport
31,MACHINES LAVER OEUFS  ET  BROYEURS ,28,https://www.pro-elevage.com/97-machines-laver-oeufs-et-broyeurs
32,CAGES VOLAILLES,28,https://www.pro-elevage.com/106-cages-volailles
33,ABREUVOIRS ET MANGEOIRES ,1,https://www.pro-elevage.com/84-abreuvoirs-et-mangeoires
34,"Abreuvoirs, Chauffe abreuvoirs et accessoires",33,https://www.pro-elevage.com/94-abreuvoirs-chauffe-abreuvoirs-et-accessoires
35,Chauffe Abreuvoir : anti gel  abreuvoir,34,https://www.pro-elevage.com/95-chauffe-abreuvoir-anti-gel-abreuvoir
36,Mangeoires,33,https://www.pro-elevage.com/96-mangeoires
37,"TOUTES POUR VOS POUSSINS : ÉLEVEUSES, PLAQUES CHAUFFANTE ETC.",1,https://www.pro-elevage.com/102-toutes-pour-vos-poussins-eleveuses-plaques-chauffante-etc
38,"ÉLEVEUSES, PLAQUES ET AMPOULES CHAUFFANTE",37,https://www.pro-elevage.com/91-eleveuses-plaques-et-ampoules-chauffante
39,BOXES ÉLEVEUSES ,37,https://www.pro-elevage.com/424-boxes-eleveuses
40,PIGEONS ET LAPINS ,1,https://www.pro-elevage.com/85-pigeons-et-lapins
41,PIGEONS,40,https://www.pro-elevage.com/142-pigeons
42,LAPINS,40,https://www.pro-elevage.com/143-lapins
